Date,Open,High,Low,Close,Adj Close,Volume
13-08-2014,236.240005,238.899994,234.100006,235.399994,217.478775,582000
14-08-2014,235.229996,245,234.399994,244.589996,225.969162,1145930
18-08-2014,245.800003,251.699997,245.5,247.860001,228.990204,987375
19-08-2014,249.940002,254.919998,249,253.860001,234.533432,1401775
20-08-2014,254.979996,257,249.529999,250.229996,231.179779,865805
21-08-2014,250.600006,253.580002,250.199997,251.720001,232.556351,648430
22-08-2014,252,252.990005,249.399994,251.490005,232.343842,320035
25-08-2014,252.259995,252.990005,248,248.779999,229.840149,610125
26-08-2014,251,279.5,245.399994,272.399994,251.661987,3675939
27-08-2014,280,296.299988,277,294.549988,272.12561,6297291
28-08-2014,297.5,298,281.200012,284.200012,262.56366,3220125
01-09-2014,285.25,287,277.100006,279.350006,258.082855,1662135
02-09-2014,280,282.100006,274,275.200012,254.248764,1957839
03-09-2014,276,281.700012,274.600006,276.100006,255.080322,2620327
04-09-2014,277.899994,278.299988,270.100006,274.549988,253.648209,1361053
05-09-2014,275.100006,279.5,271.799988,273.100006,252.308655,2084465
08-09-2014,274.850006,289.700012,270.799988,285.950012,264.180389,3686103
09-09-2014,288.899994,294.850006,285.100006,287,265.150482,4073069
10-09-2014,285,291.549988,283.450012,287.100006,265.242828,2108380
11-09-2014,288.399994,294.899994,286.350006,290.850006,268.707306,2375923
12-09-2014,293.899994,296,289.299988,291,268.845886,1847206
15-09-2014,290,290.200012,284.5,285.600006,263.857025,1233369
16-09-2014,285.799988,287,271.049988,272.399994,251.661987,1707180
17-09-2014,274.950012,278.100006,262,267.350006,246.99646,1619547
18-09-2014,267.350006,275.600006,262.100006,272.299988,251.56955,3219017
19-09-2014,274.049988,275.299988,268.200012,270.350006,249.768036,1418042
22-09-2014,267.600006,273.899994,264.799988,270.899994,250.276108,1174470
23-09-2014,269.600006,272.399994,260,261.299988,241.407013,1026538
24-09-2014,259.049988,261,251.100006,256.700012,237.157227,1267227
25-09-2014,255.050003,258.399994,246.199997,249.949997,230.921112,1557244
26-09-2014,250,263,242.050003,261.549988,241.637985,2365244
29-09-2014,262.950012,266,260.100006,263.5,243.439529,787455
30-09-2014,260.899994,267.799988,260.200012,264.850006,244.686752,1047914
01-10-2014,264,266,258,259.5,239.744049,619194
07-10-2014,261,271.799988,261,265.75,245.518204,1518767
08-10-2014,264,269.899994,263.200012,268.850006,248.382202,706175
09-10-2014,271,275.5,267.399994,273.950012,253.094009,1422135
10-10-2014,272,272.799988,265,266.350006,246.072556,818818
13-10-2014,266,269.899994,264.049988,267.25,246.904037,578286
14-10-2014,269.399994,269.799988,265.549988,266.700012,246.39595,595623
15-10-2014,266.700012,266.700012,266.700012,266.700012,246.39595,0
16-10-2014,264.049988,266.200012,256.100006,258.75,239.051132,684280
17-10-2014,260,269,260,267.549988,247.181122,771890
